Number	|	Question	|	Answer	|	Step 1	|	Step 2	|	Step 3	|	Step 4	|	Step 5	|	Type	|	Skill	|	Grade
	|	What is  3425 divided by  67 equal to?	|	3425 divided by  67 is equal to 51 with a remainder of 8	|	"The first three digits of the dividend, 342,  are divisible by 67, as 67 times 5 equals 335, which when subtracted leaves a remainder of 7"	|	"Then take the remainder from the first step, 7 , and the next digit from the dividend, which, together, gives you 75 which is divisible by 67, as 67 times 1 equals 67, which when subtracted leaves a remainder of 8"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3915 divided by  44 equal to?	|	3915 divided by  44 is equal to 88 with a remainder of 43	|	"The first three digits of the dividend, 391,  are divisible by 44, as 44 times 8 equals 352, which when subtracted leaves a remainder of 39"	|	"Then take the remainder from the first step, 39 , and the next digit from the dividend, which, together, gives you 395 which is divisible by 44, as 44 times 8 equals 352, which when subtracted leaves a remainder of 43"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  806 divided by  30 equal to?	|	806 divided by  30 is equal to 26 with a remainder of 26	|	"The first two digits of the dividend, 80,  are divisible by 30, as 30 times 2 equals 60, which when subtracted leaves a remainder of 20"	|	"Then take the remainder from the first step, 20 , and the next digit from the dividend, which, together, gives you 206 which is divisible by 30, as 30 times 6 equals 180, which when subtracted leaves a remainder of 26"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3654 divided by  5 equal to?	|	3654 divided by  5 is equal to 730 with a remainder of 4	|	"The first two digits of the dividend, 36,  are divisible by 5, as 5 times 7 equals 35, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 15 which is divisible by 5, as 5 times 3 equals 15, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0  which, taken together with the next digit, equals 4 is not divisible by 5,  you need to add a zero to the quotient, and 4 becomes the remainder, and move to the next step"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  8695 divided by  21 equal to?	|	8695 divided by  21 is equal to 414 with a remainder of 1	|	"The first two digits of the dividend, 86,  are divisible by 21, as 21 times 4 equals 84, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the first step, 2 , and the next digit from the dividend, which, together, gives you 29 which is divisible by 21, as 21 times 1 equals 21, which when subtracted leaves a remainder of 8"	|	"Then take the remainder from the second step, 8, and the next digit from the dividend, which, together, gives you 85 which is divisible by 21, as 21 times 4 equals 84, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3739 divided by  59 equal to?	|	3739 divided by  59 is equal to 63 with a remainder of 22	|	"The first three digits of the dividend, 373,  are divisible by 59, as 59 times 6 equals 354, which when subtracted leaves a remainder of 19"	|	"Then take the remainder from the first step, 19 , and the next digit from the dividend, which, together, gives you 199 which is divisible by 59, as 59 times 3 equals 177, which when subtracted leaves a remainder of 22"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2478 divided by  77 equal to?	|	2478 divided by  77 is equal to 32 with a remainder of 14	|	"The first three digits of the dividend, 247,  are divisible by 77, as 77 times 3 equals 231, which when subtracted leaves a remainder of 16"	|	"Then take the remainder from the first step, 16 , and the next digit from the dividend, which, together, gives you 168 which is divisible by 77, as 77 times 2 equals 154, which when subtracted leaves a remainder of 14"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  379 divided by  60 equal to?	|	379 divided by  60 is equal to 6 with a remainder of 19	|	"The first three digits of the dividend, 379,  are divisible by 60, as 60 times 6 equals 360, which when subtracted leaves a remainder of 19"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  8990 divided by  66 equal to?	|	8990 divided by  66 is equal to 136 with a remainder of 14	|	"The first two digits of the dividend, 89,  are divisible by 66, as 66 times 1 equals 66, which when subtracted leaves a remainder of 23"	|	"Then take the remainder from the first step, 23 , and the next digit from the dividend, which, together, gives you 239 which is divisible by 66, as 66 times 3 equals 198, which when subtracted leaves a remainder of 41"	|	"Then take the remainder from the second step, 41, and the next digit from the dividend, which, together, gives you 410 which is divisible by 66, as 66 times 6 equals 396, which when subtracted leaves a remainder of 14"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2035 divided by  84 equal to?	|	2035 divided by  84 is equal to 24 with a remainder of 19	|	"The first three digits of the dividend, 203,  are divisible by 84, as 84 times 2 equals 168, which when subtracted leaves a remainder of 35"	|	"Then take the remainder from the first step, 35 , and the next digit from the dividend, which, together, gives you 355 which is divisible by 84, as 84 times 4 equals 336, which when subtracted leaves a remainder of 19"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  8517 divided by  76 equal to?	|	8517 divided by  76 is equal to 112 with a remainder of 5	|	"The first two digits of the dividend, 85,  are divisible by 76, as 76 times 1 equals 76, which when subtracted leaves a remainder of 9"	|	"Then take the remainder from the first step, 9 , and the next digit from the dividend, which, together, gives you 91 which is divisible by 76, as 76 times 1 equals 76, which when subtracted leaves a remainder of 15"	|	"Then take the remainder from the second step, 15, and the next digit from the dividend, which, together, gives you 157 which is divisible by 76, as 76 times 2 equals 152, which when subtracted leaves a remainder of 5"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9816 divided by  34 equal to?	|	9816 divided by  34 is equal to 288 with a remainder of 24	|	"The first two digits of the dividend, 98,  are divisible by 34, as 34 times 2 equals 68, which when subtracted leaves a remainder of 30"	|	"Then take the remainder from the first step, 30 , and the next digit from the dividend, which, together, gives you 301 which is divisible by 34, as 34 times 8 equals 272, which when subtracted leaves a remainder of 29"	|	"Then take the remainder from the second step, 29, and the next digit from the dividend, which, together, gives you 296 which is divisible by 34, as 34 times 8 equals 272, which when subtracted leaves a remainder of 24"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3393 divided by  22 equal to?	|	3393 divided by  22 is equal to 154 with a remainder of 5	|	"The first two digits of the dividend, 33,  are divisible by 22, as 22 times 1 equals 22, which when subtracted leaves a remainder of 11"	|	"Then take the remainder from the first step, 11 , and the next digit from the dividend, which, together, gives you 119 which is divisible by 22, as 22 times 5 equals 110, which when subtracted leaves a remainder of 9"	|	"Then take the remainder from the second step, 9, and the next digit from the dividend, which, together, gives you 93 which is divisible by 22, as 22 times 4 equals 88, which when subtracted leaves a remainder of 5"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7683 divided by  35 equal to?	|	7683 divided by  35 is equal to 219 with a remainder of 18	|	"The first two digits of the dividend, 76,  are divisible by 35, as 35 times 2 equals 70, which when subtracted leaves a remainder of 6"	|	"Then take the remainder from the first step, 6 , and the next digit from the dividend, which, together, gives you 68 which is divisible by 35, as 35 times 1 equals 35, which when subtracted leaves a remainder of 33"	|	"Then take the remainder from the second step, 33, and the next digit from the dividend, which, together, gives you 333 which is divisible by 35, as 35 times 9 equals 315, which when subtracted leaves a remainder of 18"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  8203 divided by  42 equal to?	|	8203 divided by  42 is equal to 195 with a remainder of 13	|	"The first two digits of the dividend, 82,  are divisible by 42, as 42 times 1 equals 42, which when subtracted leaves a remainder of 40"	|	"Then take the remainder from the first step, 40 , and the next digit from the dividend, which, together, gives you 400 which is divisible by 42, as 42 times 9 equals 378, which when subtracted leaves a remainder of 22"	|	"Then take the remainder from the second step, 22, and the next digit from the dividend, which, together, gives you 223 which is divisible by 42, as 42 times 5 equals 210, which when subtracted leaves a remainder of 13"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  1646 divided by  40 equal to?	|	1646 divided by  40 is equal to 41 with a remainder of 6	|	"The first three digits of the dividend, 164,  are divisible by 40, as 40 times 4 equals 160, which when subtracted leaves a remainder of 4"	|	"Then take the remainder from the first step, 4 , and the next digit from the dividend, which, together, gives you 46 which is divisible by 40, as 40 times 1 equals 40, which when subtracted leaves a remainder of 6"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  783 divided by  2 equal to?	|	783 divided by  2 is equal to 391 with a remainder of 1	|	"The first digit of the dividend, 7,  is divisible by 2, as 2 times 3 equals 6, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 18 which is divisible by 2, as 2 times 9 equals 18, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the second step, 0, and the next digit from the dividend, which, together, gives you 3 which is divisible by 2, as 2 times 1 equals 2, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  165 divided by  26 equal to?	|	165 divided by  26 is equal to 6 with a remainder of 9	|	"The first three digits of the dividend, 165,  are divisible by 26, as 26 times 6 equals 156, which when subtracted leaves a remainder of 9"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  618 divided by  89 equal to?	|	618 divided by  89 is equal to 6 with a remainder of 84	|	"The first three digits of the dividend, 618,  are divisible by 89, as 89 times 6 equals 534, which when subtracted leaves a remainder of 84"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  4350 divided by  94 equal to?	|	4350 divided by  94 is equal to 46 with a remainder of 26	|	"The first three digits of the dividend, 435,  are divisible by 94, as 94 times 4 equals 376, which when subtracted leaves a remainder of 59"	|	"Then take the remainder from the first step, 59 , and the next digit from the dividend, which, together, gives you 590 which is divisible by 94, as 94 times 6 equals 564, which when subtracted leaves a remainder of 26"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  243 divided by  21 equal to?	|	243 divided by  21 is equal to 11 with a remainder of 12	|	"The first two digits of the dividend, 24,  are divisible by 21, as 21 times 1 equals 21, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 33 which is divisible by 21, as 21 times 1 equals 21, which when subtracted leaves a remainder of 12"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7961 divided by  73 equal to?	|	7961 divided by  73 is equal to 109 with a remainder of 4	|	"The first two digits of the dividend, 79,  are divisible by 73, as 73 times 1 equals 73, which when subtracted leaves a remainder of 6"	|	"Then, as the remainder was 6 which, taken together with the next digit, equals 66 is not divisible by 73,  you need to add a zero to the quotient, and 66 becomes the remainder, and move to the next step"	|	"Then take the remainder from the second step, 66, and the next digit from the dividend, which, together, gives you 661 which is divisible by 73, as 73 times 9 equals 657, which when subtracted leaves a remainder of 4"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  4444 divided by  35 equal to?	|	4444 divided by  35 is equal to 126 with a remainder of 34	|	"The first two digits of the dividend, 44,  are divisible by 35, as 35 times 1 equals 35, which when subtracted leaves a remainder of 9"	|	"Then take the remainder from the first step, 9 , and the next digit from the dividend, which, together, gives you 94 which is divisible by 35, as 35 times 2 equals 70, which when subtracted leaves a remainder of 24"	|	"Then take the remainder from the second step, 24, and the next digit from the dividend, which, together, gives you 244 which is divisible by 35, as 35 times 6 equals 210, which when subtracted leaves a remainder of 34"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7209 divided by  15 equal to?	|	7209 divided by  15 is equal to 480 with a remainder of 9	|	"The first two digits of the dividend, 72,  are divisible by 15, as 15 times 4 equals 60, which when subtracted leaves a remainder of 12"	|	"Then take the remainder from the first step, 12 , and the next digit from the dividend, which, together, gives you 120 which is divisible by 15, as 15 times 8 equals 120, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0  which, taken together with the next digit, equals 9 is not divisible by 15,  you need to add a zero to the quotient, and 9 becomes the remainder, and move to the next step"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  855 divided by  95 equal to?	|	855 divided by  95 is equal to 9 with a remainder of 0	|	"The first three digits of the dividend, 855,  are divisible by 95, as 95 times 9 equals 855, which when subtracted leaves a remainder of 0"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  754 divided by  92 equal to?	|	754 divided by  92 is equal to 8 with a remainder of 18	|	"The first three digits of the dividend, 754,  are divisible by 92, as 92 times 8 equals 736, which when subtracted leaves a remainder of 18"	|		|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  8961 divided by  93 equal to?	|	8961 divided by  93 is equal to 96 with a remainder of 33	|	"The first three digits of the dividend, 896,  are divisible by 93, as 93 times 9 equals 837, which when subtracted leaves a remainder of 59"	|	"Then take the remainder from the first step, 59 , and the next digit from the dividend, which, together, gives you 591 which is divisible by 93, as 93 times 6 equals 558, which when subtracted leaves a remainder of 33"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9306 divided by  14 equal to?	|	9306 divided by  14 is equal to 664 with a remainder of 10	|	"The first two digits of the dividend, 93,  are divisible by 14, as 14 times 6 equals 84, which when subtracted leaves a remainder of 9"	|	"Then take the remainder from the first step, 9 , and the next digit from the dividend, which, together, gives you 90 which is divisible by 14, as 14 times 6 equals 84, which when subtracted leaves a remainder of 6"	|	"Then take the remainder from the second step, 6, and the next digit from the dividend, which, together, gives you 66 which is divisible by 14, as 14 times 4 equals 56, which when subtracted leaves a remainder of 10"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  1698 divided by  43 equal to?	|	1698 divided by  43 is equal to 39 with a remainder of 21	|	"The first three digits of the dividend, 169,  are divisible by 43, as 43 times 3 equals 129, which when subtracted leaves a remainder of 40"	|	"Then take the remainder from the first step, 40 , and the next digit from the dividend, which, together, gives you 408 which is divisible by 43, as 43 times 9 equals 387, which when subtracted leaves a remainder of 21"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7024 divided by  100 equal to?	|	7024 divided by  100 is equal to 70 with a remainder of 24	|	"The first three digits of the dividend, 702,  are divisible by 100, as 100 times 7 equals 700, which when subtracted leaves a remainder of 2"	|	"Then, as the remainder was 2 which, taken together with the next digit, equals 24 is not divisible by 100,  you need to add a zero to the quotient, and 24 becomes the remainder, and move to the next step"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3451 divided by  81 equal to?	|	3451 divided by  81 is equal to 42 with a remainder of 49	|	"The first three digits of the dividend, 345,  are divisible by 81, as 81 times 4 equals 324, which when subtracted leaves a remainder of 21"	|	"Then take the remainder from the first step, 21 , and the next digit from the dividend, which, together, gives you 211 which is divisible by 81, as 81 times 2 equals 162, which when subtracted leaves a remainder of 49"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9720 divided by  9 equal to?	|	9720 divided by  9 is equal to 1080 with a remainder of 0	|	"The first digit of the dividend, 9,  is divisible by 9, as 9 times 1 equals 9, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 7 is not divisible by 9,  you need to add a zero to the quotient, and 7 becomes the remainder, and move to the next step"	|	"Then take the remainder from the second step, 7, and the next digit from the dividend, which, together, gives you 72 which is divisible by 9, as 9 times 8 equals 72, which when subtracted leaves a remainder of 0"	|	"Then, as the remainder was 0 which, taken together with the next digit, equals 0 is not divisible by 9,  you need to add a zero to the quotient, and 0 becomes the remainder, and move to the next step"	|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  1854 divided by  76 equal to?	|	1854 divided by  76 is equal to 24 with a remainder of 30	|	"The first three digits of the dividend, 185,  are divisible by 76, as 76 times 2 equals 152, which when subtracted leaves a remainder of 33"	|	"Then take the remainder from the first step, 33 , and the next digit from the dividend, which, together, gives you 334 which is divisible by 76, as 76 times 4 equals 304, which when subtracted leaves a remainder of 30"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6253 divided by  12 equal to?	|	6253 divided by  12 is equal to 521 with a remainder of 1	|	"The first two digits of the dividend, 62,  are divisible by 12, as 12 times 5 equals 60, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the first step, 2 , and the next digit from the dividend, which, together, gives you 25 which is divisible by 12, as 12 times 2 equals 24, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the second step, 1, and the next digit from the dividend, which, together, gives you 13 which is divisible by 12, as 12 times 1 equals 12, which when subtracted leaves a remainder of 1"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6594 divided by  15 equal to?	|	6594 divided by  15 is equal to 439 with a remainder of 9	|	"The first two digits of the dividend, 65,  are divisible by 15, as 15 times 4 equals 60, which when subtracted leaves a remainder of 5"	|	"Then take the remainder from the first step, 5 , and the next digit from the dividend, which, together, gives you 59 which is divisible by 15, as 15 times 3 equals 45, which when subtracted leaves a remainder of 14"	|	"Then take the remainder from the second step, 14, and the next digit from the dividend, which, together, gives you 144 which is divisible by 15, as 15 times 9 equals 135, which when subtracted leaves a remainder of 9"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7534 divided by  14 equal to?	|	7534 divided by  14 is equal to 538 with a remainder of 2	|	"The first two digits of the dividend, 75,  are divisible by 14, as 14 times 5 equals 70, which when subtracted leaves a remainder of 5"	|	"Then take the remainder from the first step, 5 , and the next digit from the dividend, which, together, gives you 53 which is divisible by 14, as 14 times 3 equals 42, which when subtracted leaves a remainder of 11"	|	"Then take the remainder from the second step, 11, and the next digit from the dividend, which, together, gives you 114 which is divisible by 14, as 14 times 8 equals 112, which when subtracted leaves a remainder of 2"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  405 divided by  13 equal to?	|	405 divided by  13 is equal to 31 with a remainder of 2	|	"The first two digits of the dividend, 40,  are divisible by 13, as 13 times 3 equals 39, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 15 which is divisible by 13, as 13 times 1 equals 13, which when subtracted leaves a remainder of 2"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7322 divided by  41 equal to?	|	7322 divided by  41 is equal to 178 with a remainder of 24	|	"The first two digits of the dividend, 73,  are divisible by 41, as 41 times 1 equals 41, which when subtracted leaves a remainder of 32"	|	"Then take the remainder from the first step, 32 , and the next digit from the dividend, which, together, gives you 322 which is divisible by 41, as 41 times 7 equals 287, which when subtracted leaves a remainder of 35"	|	"Then take the remainder from the second step, 35, and the next digit from the dividend, which, together, gives you 352 which is divisible by 41, as 41 times 8 equals 328, which when subtracted leaves a remainder of 24"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  7673 divided by  9 equal to?	|	7673 divided by  9 is equal to 852 with a remainder of 5	|	"The first two digits of the dividend, 76,  are divisible by 9, as 9 times 8 equals 72, which when subtracted leaves a remainder of 4"	|	"Then take the remainder from the first step, 4 , and the next digit from the dividend, which, together, gives you 47 which is divisible by 9, as 9 times 5 equals 45, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the second step, 2, and the next digit from the dividend, which, together, gives you 23 which is divisible by 9, as 9 times 2 equals 18, which when subtracted leaves a remainder of 5"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  1828 divided by  46 equal to?	|	1828 divided by  46 is equal to 39 with a remainder of 34	|	"The first three digits of the dividend, 182,  are divisible by 46, as 46 times 3 equals 138, which when subtracted leaves a remainder of 44"	|	"Then take the remainder from the first step, 44 , and the next digit from the dividend, which, together, gives you 448 which is divisible by 46, as 46 times 9 equals 414, which when subtracted leaves a remainder of 34"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6232 divided by  66 equal to?	|	6232 divided by  66 is equal to 94 with a remainder of 28	|	"The first three digits of the dividend, 623,  are divisible by 66, as 66 times 9 equals 594, which when subtracted leaves a remainder of 29"	|	"Then take the remainder from the first step, 29 , and the next digit from the dividend, which, together, gives you 292 which is divisible by 66, as 66 times 4 equals 264, which when subtracted leaves a remainder of 28"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9312 divided by  7 equal to?	|	9312 divided by  7 is equal to 1330 with a remainder of 2	|	"The first digit of the dividend, 9,  is divisible by 7, as 7 times 1 equals 7, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the first step, 2 , and the next digit from the dividend, which, together, gives you 23 which is divisible by 7, as 7 times 3 equals 21, which when subtracted leaves a remainder of 2"	|	"Then take the remainder from the second step, 2, and the next digit from the dividend, which, together, gives you 21 which is divisible by 7, as 7 times 3 equals 21, which when subtracted leaves a remainder of 0"	|	"Then take the remainder from the third step, 0, and the next digit from the dividend, which, together, gives you 2 which is divisible by 7, as 7 times 0 equals 0, which when subtracted leaves a remainder of 2"	|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5768 divided by  77 equal to?	|	5768 divided by  77 is equal to 74 with a remainder of 70	|	"The first three digits of the dividend, 576,  are divisible by 77, as 77 times 7 equals 539, which when subtracted leaves a remainder of 37"	|	"Then take the remainder from the first step, 37 , and the next digit from the dividend, which, together, gives you 378 which is divisible by 77, as 77 times 4 equals 308, which when subtracted leaves a remainder of 70"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  1484 divided by  22 equal to?	|	1484 divided by  22 is equal to 67 with a remainder of 10	|	"The first three digits of the dividend, 148,  are divisible by 22, as 22 times 6 equals 132, which when subtracted leaves a remainder of 16"	|	"Then take the remainder from the first step, 16 , and the next digit from the dividend, which, together, gives you 164 which is divisible by 22, as 22 times 7 equals 154, which when subtracted leaves a remainder of 10"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  8616 divided by  54 equal to?	|	8616 divided by  54 is equal to 159 with a remainder of 30	|	"The first two digits of the dividend, 86,  are divisible by 54, as 54 times 1 equals 54, which when subtracted leaves a remainder of 32"	|	"Then take the remainder from the first step, 32 , and the next digit from the dividend, which, together, gives you 321 which is divisible by 54, as 54 times 5 equals 270, which when subtracted leaves a remainder of 51"	|	"Then take the remainder from the second step, 51, and the next digit from the dividend, which, together, gives you 516 which is divisible by 54, as 54 times 9 equals 486, which when subtracted leaves a remainder of 30"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  1504 divided by  21 equal to?	|	1504 divided by  21 is equal to 71 with a remainder of 13	|	"The first three digits of the dividend, 150,  are divisible by 21, as 21 times 7 equals 147, which when subtracted leaves a remainder of 3"	|	"Then take the remainder from the first step, 3 , and the next digit from the dividend, which, together, gives you 34 which is divisible by 21, as 21 times 1 equals 21, which when subtracted leaves a remainder of 13"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9761 divided by  38 equal to?	|	9761 divided by  38 is equal to 256 with a remainder of 33	|	"The first two digits of the dividend, 97,  are divisible by 38, as 38 times 2 equals 76, which when subtracted leaves a remainder of 21"	|	"Then take the remainder from the first step, 21 , and the next digit from the dividend, which, together, gives you 216 which is divisible by 38, as 38 times 5 equals 190, which when subtracted leaves a remainder of 26"	|	"Then take the remainder from the second step, 26, and the next digit from the dividend, which, together, gives you 261 which is divisible by 38, as 38 times 6 equals 228, which when subtracted leaves a remainder of 33"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5582 divided by  54 equal to?	|	5582 divided by  54 is equal to 103 with a remainder of 20	|	"The first two digits of the dividend, 55,  are divisible by 54, as 54 times 1 equals 54, which when subtracted leaves a remainder of 1"	|	"Then, as the remainder was 1 which, taken together with the next digit, equals 18 is not divisible by 54,  you need to add a zero to the quotient, and 18 becomes the remainder, and move to the next step"	|	"Then take the remainder from the second step, 18, and the next digit from the dividend, which, together, gives you 182 which is divisible by 54, as 54 times 3 equals 162, which when subtracted leaves a remainder of 20"	|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  6639 divided by  91 equal to?	|	6639 divided by  91 is equal to 72 with a remainder of 87	|	"The first three digits of the dividend, 663,  are divisible by 91, as 91 times 7 equals 637, which when subtracted leaves a remainder of 26"	|	"Then take the remainder from the first step, 26 , and the next digit from the dividend, which, together, gives you 269 which is divisible by 91, as 91 times 2 equals 182, which when subtracted leaves a remainder of 87"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2580 divided by  100 equal to?	|	2580 divided by  100 is equal to 25 with a remainder of 80	|	"The first three digits of the dividend, 258,  are divisible by 100, as 100 times 2 equals 200, which when subtracted leaves a remainder of 58"	|	"Then take the remainder from the first step, 58 , and the next digit from the dividend, which, together, gives you 580 which is divisible by 100, as 100 times 5 equals 500, which when subtracted leaves a remainder of 80"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  8933 divided by  7 equal to?	|	8933 divided by  7 is equal to 1276 with a remainder of 1	|	"The first digit of the dividend, 8,  is divisible by 7, as 7 times 1 equals 7, which when subtracted leaves a remainder of 1"	|	"Then take the remainder from the first step, 1 , and the next digit from the dividend, which, together, gives you 19 which is divisible by 7, as 7 times 2 equals 14, which when subtracted leaves a remainder of 5"	|	"Then take the remainder from the second step, 5, and the next digit from the dividend, which, together, gives you 53 which is divisible by 7, as 7 times 7 equals 49, which when subtracted leaves a remainder of 4"	|	"Then take the remainder from the third step, 4, and the next digit from the dividend, which, together, gives you 43 which is divisible by 7, as 7 times 6 equals 42, which when subtracted leaves a remainder of 1"	|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3406 divided by  61 equal to?	|	3406 divided by  61 is equal to 55 with a remainder of 51	|	"The first three digits of the dividend, 340,  are divisible by 61, as 61 times 5 equals 305, which when subtracted leaves a remainder of 35"	|	"Then take the remainder from the first step, 35 , and the next digit from the dividend, which, together, gives you 356 which is divisible by 61, as 61 times 5 equals 305, which when subtracted leaves a remainder of 51"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  9181 divided by  94 equal to?	|	9181 divided by  94 is equal to 97 with a remainder of 63	|	"The first three digits of the dividend, 918,  are divisible by 94, as 94 times 9 equals 846, which when subtracted leaves a remainder of 72"	|	"Then take the remainder from the first step, 72 , and the next digit from the dividend, which, together, gives you 721 which is divisible by 94, as 94 times 7 equals 658, which when subtracted leaves a remainder of 63"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  1820 divided by  62 equal to?	|	1820 divided by  62 is equal to 29 with a remainder of 22	|	"The first three digits of the dividend, 182,  are divisible by 62, as 62 times 2 equals 124, which when subtracted leaves a remainder of 58"	|	"Then take the remainder from the first step, 58 , and the next digit from the dividend, which, together, gives you 580 which is divisible by 62, as 62 times 9 equals 558, which when subtracted leaves a remainder of 22"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  2365 divided by  96 equal to?	|	2365 divided by  96 is equal to 24 with a remainder of 61	|	"The first three digits of the dividend, 236,  are divisible by 96, as 96 times 2 equals 192, which when subtracted leaves a remainder of 44"	|	"Then take the remainder from the first step, 44 , and the next digit from the dividend, which, together, gives you 445 which is divisible by 96, as 96 times 4 equals 384, which when subtracted leaves a remainder of 61"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  3834 divided by  57 equal to?	|	3834 divided by  57 is equal to 67 with a remainder of 15	|	"The first three digits of the dividend, 383,  are divisible by 57, as 57 times 6 equals 342, which when subtracted leaves a remainder of 41"	|	"Then take the remainder from the first step, 41 , and the next digit from the dividend, which, together, gives you 414 which is divisible by 57, as 57 times 7 equals 399, which when subtracted leaves a remainder of 15"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
	|	What is  5523 divided by  77 equal to?	|	5523 divided by  77 is equal to 71 with a remainder of 56	|	"The first three digits of the dividend, 552,  are divisible by 77, as 77 times 7 equals 539, which when subtracted leaves a remainder of 13"	|	"Then take the remainder from the first step, 13 , and the next digit from the dividend, which, together, gives you 133 which is divisible by 77, as 77 times 1 equals 77, which when subtracted leaves a remainder of 56"	|		|		|		|	LONG DIVISION	|	DIVISION	|	6
