
Tempplate Number	|	Question	|	Answer	|	Step 1	| Q D D R M,	Step 2	|	Step 3	|	Step 4	|	Step 5	|	Type	|	Skill	|	Grade
5	|	"If Jasun has 26 breadfruit, and gives Humbert 23 of his breadfruit, then how many breadfruit does he have left?"	|	Jasun has 3 breadfruit left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Celesta fed 32 farm animals,  and 21 were cows, then how many rabbits did she feed?"	|	Celesta fed 10 rabbits	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Sade played in 8 soccer games this year. Last year, she played in 36 games. How many soccer games did she play in total?"	|	Sade played in a total of 44 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Enrique has 35 orange coloured pencils, and Cobb gives him 4 orange coloured pencils, then how many orange coloured pencils does he have altogether?"	|	Enrique has a total of 39 orange coloured pencils	|		|		|		|		|		|	Word Problem	|	addition	|	3
9	|	"Elena played in 32 basketball games this year. Last year, she played in 41 games. How many basketball games did she play in total?"	|	Elena played in a total of 73 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Ralph has 49 purple coloured markers, and Xymenes gives him 35 purple coloured markers, then how many purple coloured markers does he have altogether?"	|	Ralph has a total of 84 purple coloured markers	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 8 kittens. If there are 10 children, how many kittens are there in total?"	|	There are 80 kittens in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 7 cows. If there are 9 children, how many cows are there in total?"	|	There are 63 cows in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 2 rabbits. If there are 1 children, how many rabbits are there in total?"	|	There are 2 rabbits in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Gilles has 0 , and Ludvig gives him 0 , then how many  does he have altogether?"	|	Gilles has a total of 0 	|		|		|		|		|		|	Word Problem	|	addition	|	3
3	|	"if Werner placed 28 brown coloured crayons, and Clarice placed 44 gray coloured crayons, then how many crayons did they put altogether?"	|	"Together,  Werner and Clarice placed 72 crayons"	|		|		|		|		|		|	Word Problem	|	addition	|	3
5	|	"If Bianca has 35 copper coloured markers, and gives Julissa 10 of her copper coloured markers, then how many copper coloured markers does she have left?"	|	Bianca has 25 copper coloured markers left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Cherlyn played in 66 basketball games this year. Last year, she played in 28 games. How many basketball games did she play in total?"	|	Cherlyn played in a total of 94 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
3	|	"if Xiomara placed 46 lime coloured pencils, and Mata placed 52 silver coloured pencils, then how many pencils did they put altogether?"	|	"Together,  Xiomara and Mata placed 98 pencils"	|		|		|		|		|		|	Word Problem	|	addition	|	3
7	|	"Gregg played in 91 hockey games this year. Last year, he played in 48 games. How many hockey games did he play in total?"	|	Gregg played in a total of 139 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 9 bees. If there are 6 children, how many bees are there in total?"	|	There are 54 bees in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Tonia has 12 damson plums, and gives Ann 4 of her damson plums, then how many damson plums does she have left?"	|	Tonia has 8 damson plums left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 9 bartlett pears. If there are 10 children, how many bartlett pears are there in total?"	|	There are 90 bartlett pears in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 9 baby blue coloured markers. If there are 8 children, how many baby blue coloured markers are there in total?"	|	There are 72 baby blue coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
8	|	"Morlee played in 39 soccer games this year. Last year, he played in 80 games. How many soccer games did he play in total?"	|	Morlee played in a total of 119 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Brody had 60 pieces of stationary in the drawer and 49 were scissors, then how many pencil cases did he have in the drawer?"	|	Brody had 38 pencil cases	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Yukiko has 21 spiders, and Sandy gives her 7 spiders, then how many spiders does she have altogether?"	|	Yukiko has a total of 28 spiders	|		|		|		|		|		|	Word Problem	|	addition	|	3
4	|	"If Britt has 22 blue coloured markers, and Fallon gives him 9 blue coloured markers, then how many blue coloured markers does he have altogether?"	|	Britt has a total of 31 blue coloured markers	|		|		|		|		|		|	Word Problem	|	addition	|	3
5	|	"If Brody has 890 chili, and gives Zulma 405 of his chili, then how many chili does he have left?"	|	Brody has 485 chili left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 5 . If there are 8 children, how many  are there in total?"	|	There are 40  in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Nieves counted 36 insects,  and 18 were caterpillars, then how many worms did she count?"	|	Nieves counted 0 worms	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 4 sharpners. If there are 8 children, how many sharpners are there in total?"	|	There are 32 sharpners in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Eula picked 27 fruit,  and 19 were pomegranates, then how many papayas did she pick?"	|	Eula picked 11 papayas	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Jereme saw 17 wild animals,  and 8 were camels, then how many giraffes did he see?"	|	Jereme saw 1 giraffes	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 6 sheep. If there are 7 children, how many sheep are there in total?"	|	There are 42 sheep in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
3	|	"if Katrina saw 9 hamsters, and Renault saw 11 turtles, then how many animals did they see altogether?"	|	"Together,  Katrina and Renault saw 20 animals"	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"6910 played in 61 soccer games this year. Last year, S_SUBJECTIVE played in 12 games. How many soccer games did S_SUBJECTIVE play in total?"	|	6910 played in a total of 73 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Ogdan picked 27 fruit at the grocery store and 11 were lime, then how many avocados did he pick at the grocery store?"	|	Ogdan picked 5 avocados	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Lauran played in 60 soccer games this year. Last year, she played in 81 games. How many soccer games did she play in total?"	|	Lauran played in a total of 141 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 2 jade coloured markers. If there are 3 children, how many jade coloured markers are there in total?"	|	There are 6 jade coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Don played in 24 hockey games this year. Last year, he played in 55 games. How many hockey games did he play in total?"	|	Don played in a total of 79 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 1 blueberries. If there are 7 children, how many blueberries are there in total?"	|	There are 7 blueberries in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Takako has 29 poncho, and gives Carroll 7 of her poncho, then how many poncho does she have left?"	|	Takako has 22 poncho left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 11 grapes. If there are 3 children, how many grapes are there in total?"	|	There are 33 grapes in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Jina played in 85 basketball games this year. Last year, she played in 88 games. How many basketball games did she play in total?"	|	Jina played in a total of 173 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Damian played in 52 basketball games this year. Last year, he played in 8 games. How many basketball games did he play in total?"	|	Damian played in a total of 60 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 5 bartlett pears. If there are 5 children, how many bartlett pears are there in total?"	|	There are 25 bartlett pears in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Maximo has 8 crocodiles, and gives Phyllis 7 of his crocodiles, then how many crocodiles does he have left?"	|	Maximo has 1 crocodiles left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Jase played in 18 basketball games this year. Last year, he played in 59 games. How many basketball games did he play in total?"	|	Jase played in a total of 77 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 10 lime coloured markers. If there are 3 children, how many lime coloured markers are there in total?"	|	There are 30 lime coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
9	|	"Lita played in 10 basketball games this year. Last year, she played in 15 games. How many basketball games did she play in total?"	|	Lita played in a total of 25 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Niall has 18 squirrels, and Cazzie gives him 18 squirrels, then how many squirrels does he have altogether?"	|	Niall has a total of 36 squirrels	|		|		|		|		|		|	Word Problem	|	addition	|	3
12	|	in the desk there are 16 sapphire coloured markers. If we remove 14 of the sapphire coloured markers how many sapphire coloured markers would we have left?	|	There would be  2 sapphire coloured markers left in the desk.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Rodolfo placed 38 pieces of stationary in the drawer and 2 were erasers, then how many index cards did he put in the drawer?"	|	Rodolfo placed 34 index cards	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
6	|	"if Nohemi saw 26 wild animals,  and 4 were seals, then how many lions did she see?"	|	Nohemi saw 18 lions	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Dexter placed 12 pieces of stationary in the drawer and 9 were post-its, then how many mechanical pencils did he put in the drawer?"	|	Dexter placed 6 mechanical pencils	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
3	|	"if Celeste had 41 violet coloured pencils, and Elli had 19 cyan coloured pencils, then how many pencils did they have altogether?"	|	"Together,  Celeste and Elli had 60 pencils"	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 8 ocher coloured markers. If there are 5 children, how many ocher coloured markers are there in total?"	|	There are 40 ocher coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Mariel had 79 pencils in the desk and 29 were rose coloured pencils, then how many orange coloured pencils did she have in the desk?"	|	Mariel had 21 orange coloured pencils	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"August played in 8 soccer games this year. Last year, he played in 89 games. How many soccer games did he play in total?"	|	August played in a total of 97 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 5 sharpners. If there are 8 children, how many sharpners are there in total?"	|	There are 40 sharpners in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
3	|	"if Merry counted 5 worms, and Pam counted 3 caterpillars, then how many insects did they count altogether?"	|	"Together,  Merry and Pam counted 8 insects"	|		|		|		|		|		|	Word Problem	|	addition	|	3
10	|	"if Laureen saw 20 animals in the backyard and 18 were cats, then how many frogs did she see in the backyard?"	|	Laureen saw 16 frogs	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Ellerey has 21 butterflies, and gives Alishia 12 of his butterflies, then how many butterflies does he have left?"	|	Ellerey has 9 butterflies left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 1 huckleberries. If there are 5 children, how many huckleberries are there in total?"	|	There are 5 huckleberries in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Randell played in 81 hockey games this year. Last year, he played in 32 games. How many hockey games did he play in total?"	|	Randell played in a total of 113 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
7	|	"Wheeler played in 43 hockey games this year. Last year, he played in 98 games. How many hockey games did he play in total?"	|	Wheeler played in a total of 141 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
6	|	"if Irvine sold 1148 fruit,  and 468 were lychee, then how many blackcurrant did he sell?"	|	Irvine sold 212 blackcurrant	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
12	|	in the backyard there are 20 frogs. If we remove 18 of the frogs how many frogs would we have left?	|	There would be  2 frogs left in the backyard.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Joane has 23 bartlett pears, and gives Matteo 8 of her bartlett pears, then how many bartlett pears does she have left?"	|	Joane has 15 bartlett pears left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Jarvis has 46 turquoise coloured crayons, and Gideon gives him 29 turquoise coloured crayons, then how many turquoise coloured crayons does he have altogether?"	|	Jarvis has a total of 75 turquoise coloured crayons	|		|		|		|		|		|	Word Problem	|	addition	|	3
10	|	"if Melia placed 45 crayons in the desk and 37 were emerald coloured crayons, then how many coral coloured crayons did she put in the desk?"	|	Melia placed 29 coral coloured crayons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
12	|	in the bag there are 42 leggings. If we remove 27 of the leggings how many leggings would we have left?	|	There would be  15 leggings left in the bag.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Ari has 343 chili, and Jenice gives him 387 chili, then how many chili does he have altogether?"	|	Ari has a total of 730 chili	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 3 puppies. If there are 4 children, how many puppies are there in total?"	|	There are 12 puppies in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
12	|	in the desk there are 36 prussian blue coloured crayons. If we remove 8 of the prussian blue coloured crayons how many prussian blue coloured crayons would we have left?	|	There would be  28 prussian blue coloured crayons left in the desk.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
5	|	"If Reese has 195 raspberries, and gives Dessie 135 of his raspberries, then how many raspberries does he have left?"	|	Reese has 60 raspberries left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 4 coconuts. If there are 3 children, how many coconuts are there in total?"	|	There are 12 coconuts in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Ehtel had 1491 fruit at the farm and 593 were tomato, then how many huckleberries did she have at the farm?"	|	Ehtel had 305 huckleberries	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
7	|	"Keshia played in 30 hockey games this year. Last year, she played in 76 games. How many hockey games did she play in total?"	|	Keshia played in a total of 106 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
3	|	"if Cordell fed 22 hamsters, and Valerie fed 15 hamsters, then how many animals did they feed altogether?"	|	"Together,  Cordell and Valerie fed 37 animals"	|		|		|		|		|		|	Word Problem	|	addition	|	3
7	|	"Lamar played in 30 hockey games this year. Last year, he played in 47 games. How many hockey games did he play in total?"	|	Lamar played in a total of 77 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
6	|	"if Moshe had 60 crayons,  and 23 were jade coloured crayons, then how many brown coloured crayons did he have?"	|	Moshe had 14 brown coloured crayons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Anna played in 34 soccer games this year. Last year, she played in 69 games. How many soccer games did she play in total?"	|	Anna played in a total of 103 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
8	|	"Latosha played in 21 soccer games this year. Last year, she played in 58 games. How many soccer games did she play in total?"	|	Latosha played in a total of 79 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
5	|	"If Leesa has 699 cherry, and gives Berky 270 of her cherry, then how many cherry does she have left?"	|	Leesa has 429 cherry left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
12	|	on the farm there are 16 sheep. If we remove 8 of the sheep how many sheep would we have left?	|	There would be  8 sheep left on the farm.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Neta fed 17 farm animals on the farm and 12 were geese, then how many chickens did she feed on the farm?"	|	Neta fed 7 chickens	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Dreama played in 51 soccer games this year. Last year, she played in 93 games. How many soccer games did she play in total?"	|	Dreama played in a total of 144 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
12	|	in the desk there are 46 violet coloured pencils. If we remove 32 of the violet coloured pencils how many violet coloured pencils would we have left?	|	There would be  14 violet coloured pencils left in the desk.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
8	|	"Cassidy played in 56 soccer games this year. Last year, she played in 92 games. How many soccer games did she play in total?"	|	Cassidy played in a total of 148 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 3 cyan coloured crayons. If there are 1 children, how many cyan coloured crayons are there in total?"	|	There are 3 cyan coloured crayons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Kevin played in 86 hockey games this year. Last year, he played in 40 games. How many hockey games did he play in total?"	|	Kevin played in a total of 126 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Tripp fed 27 wild animals at the zoo and 22 were zebras, then how many pandas did he feed at the zoo?"	|	Tripp fed 17 pandas	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
3	|	"if Leone picked 25 mangos, and Lynetta picked 18 dragonfruits, then how many fruit did they pick altogether?"	|	"Together,  Leone and Lynetta picked 43 fruit"	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Sharon played in 15 soccer games this year. Last year, she played in 21 games. How many soccer games did she play in total?"	|	Sharon played in a total of 36 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
8	|	"Freida played in 79 soccer games this year. Last year, she played in 17 games. How many soccer games did she play in total?"	|	Freida played in a total of 96 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Kalil played in 66 basketball games this year. Last year, he played in 20 games. How many basketball games did he play in total?"	|	Kalil played in a total of 86 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Olene has 44 post-its, and Deb gives her 30 post-its, then how many post-its does she have altogether?"	|	Olene has a total of 74 post-its	|		|		|		|		|		|	Word Problem	|	addition	|	3
3	|	"if Aiko fed 2 sheep, and Ellery fed 10 cows, then how many farm animals did they feed altogether?"	|	"Together,  Aiko and Ellery fed 12 farm animals"	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Yu played in 63 soccer games this year. Last year, she played in 75 games. How many soccer games did she play in total?"	|	Yu played in a total of 138 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 5 rubbers. If there are 7 children, how many rubbers are there in total?"	|	There are 35 rubbers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Deidra fed 11 animals in the backyard and 8 were puppies, then how many ducks did she feed in the backyard?"	|	Deidra fed 5 ducks	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 11 pair of mittens. If there are 1 children, how many pair of mittens are there in total?"	|	There are 11 pair of mittens in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Dia had 33 markers,  and 5 were violet coloured markers, then how many scarlet coloured markers did she have?"	|	Dia had 23 scarlet coloured markers	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
10	|	"if Joannie placed 62 markers in the desk and 16 were orange coloured markers, then how many orange-red coloured markers did she put in the desk?"	|	Joannie placed 30 orange-red coloured markers	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 6 cats. If there are 6 children, how many cats are there in total?"	|	There are 36 cats in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
5	|	"If Broddy has 22 tangerines, and gives Leonor 13 of his tangerines, then how many tangerines does he have left?"	|	Broddy has 9 tangerines left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
7	|	"Lennie played in 40 hockey games this year. Last year, she played in 35 games. How many hockey games did she play in total?"	|	Lennie played in a total of 75 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Shaine saw 38 wild animals at the zoo and 19 were seals, then how many kangaroos did he see at the zoo?"	|	Shaine saw 0 kangaroos	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
4	|	"If Cierra has 10 grasshoppers, and Ferne gives her 22 grasshoppers, then how many grasshoppers does she have altogether?"	|	Cierra has a total of 32 grasshoppers	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 10 kiwi fruits. If there are 4 children, how many kiwi fruits are there in total?"	|	There are 40 kiwi fruits in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
10	|	"if Toshia placed 62 markers in the desk and 49 were violet coloured markers, then how many mauve coloured markers did she put in the desk?"	|	Toshia placed 36 mauve coloured markers	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Latoyia played in 61 basketball games this year. Last year, she played in 18 games. How many basketball games did she play in total?"	|	Latoyia played in a total of 79 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
4	|	"If Bernie has 18 pencil cases, and Terica gives her 29 pencil cases, then how many pencil cases does she have altogether?"	|	Bernie has a total of 47 pencil cases	|		|		|		|		|		|	Word Problem	|	addition	|	3
7	|	"Ed played in 96 hockey games this year. Last year, he played in 47 games. How many hockey games did he play in total?"	|	Ed played in a total of 143 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
8	|	"Babette played in 48 soccer games this year. Last year, she played in 52 games. How many soccer games did she play in total?"	|	Babette played in a total of 100 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 10 blackberries. If there are 8 children, how many blackberries are there in total?"	|	There are 80 blackberries in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 7 purple mangosteens. If there are 1 children, how many purple mangosteens are there in total?"	|	There are 7 purple mangosteens in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
3	|	"if Josh placed 25 red-violet coloured markers, and Gabe placed 49 yellow coloured markers, then how many markers did they put altogether?"	|	"Together,  Josh and Gabe placed 74 markers"	|		|		|		|		|		|	Word Problem	|	addition	|	3
7	|	"Edra played in 45 hockey games this year. Last year, she played in 22 games. How many hockey games did she play in total?"	|	Edra played in a total of 67 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 2 canary melons. If there are 2 children, how many canary melons are there in total?"	|	There are 4 canary melons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
6	|	"if Jorgan had 42 pencils,  and 21 were red-violet coloured pencils, then how many bronze coloured pencils did he have?"	|	Jorgan had 0 bronze coloured pencils	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Goraud played in 3 basketball games this year. Last year, he played in 5 games. How many basketball games did he play in total?"	|	Goraud played in a total of 8 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Sydney had 76 pencils in the desk and 37 were ivory coloured pencils, then how many cobalt blue coloured pencils did she have in the desk?"	|	Sydney had 2 cobalt blue coloured pencils	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 9 cows. If there are 6 children, how many cows are there in total?"	|	There are 54 cows in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 6 squirrels. If there are 8 children, how many squirrels are there in total?"	|	There are 48 squirrels in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Leticia played in 34 hockey games this year. Last year, she played in 87 games. How many hockey games did she play in total?"	|	Leticia played in a total of 121 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 6 mauve coloured markers. If there are 8 children, how many mauve coloured markers are there in total?"	|	There are 48 mauve coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
12	|	in the desk there are 47 violet coloured markers. If we remove 39 of the violet coloured markers how many violet coloured markers would we have left?	|	There would be  8 violet coloured markers left in the desk.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 10 . If there are 2 children, how many  are there in total?"	|	There are 20  in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 6 mechanical pencils. If there are 4 children, how many mechanical pencils are there in total?"	|	There are 24 mechanical pencils in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
3	|	"if Hagan saw 15 owls, and Mike saw 10 ducks, then how many animals did they see altogether?"	|	"Together,  Hagan and Mike saw 25 animals"	|		|		|		|		|		|	Word Problem	|	addition	|	3
8	|	"Nels played in 19 soccer games this year. Last year, he played in 39 games. How many soccer games did he play in total?"	|	Nels played in a total of 58 soccer games. 	|		|		|	#DIV/0!	|	#DIV/0!	|	#DIV/0!	|	Word Problem	|	addition	|	2
12	|	at the zoo there are 15 monkeys. If we remove 6 of the monkeys how many monkeys would we have left?	|	There would be  9 monkeys left at the zoo.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
9	|	"Axel played in 80 basketball games this year. Last year, he played in 48 games. How many basketball games did he play in total?"	|	Axel played in a total of 128 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
11	|	"Each child has 5 leggings. If there are 3 children, how many leggings are there in total?"	|	There are 15 leggings in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Hee has 7 grubs, and Rory gives her 8 grubs, then how many grubs does she have altogether?"	|	Hee has a total of 15 grubs	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 10 azure coloured markers. If there are 8 children, how many azure coloured markers are there in total?"	|	There are 80 azure coloured markers in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
4	|	"If Neron has 19 lions, and Alfredo gives him 12 lions, then how many lions does he have altogether?"	|	Neron has a total of 31 lions	|		|		|		|		|		|	Word Problem	|	addition	|	3
5	|	"If Thorpe has 18 tigers, and gives Frankie 3 of his tigers, then how many tigers does he have left?"	|	Thorpe has 15 tigers left.	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
11	|	"Each child has 3 oranges. If there are 7 children, how many oranges are there in total?"	|	There are 21 oranges in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
7	|	"Wilden played in 54 hockey games this year. Last year, he played in 77 games. How many hockey games did he play in total?"	|	Wilden played in a total of 131 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
9	|	"Lutero played in 67 basketball games this year. Last year, he played in 43 games. How many basketball games did he play in total?"	|	Lutero played in a total of 110 basketball games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
7	|	"Vachel played in 51 hockey games this year. Last year, he played in 63 games. How many hockey games did he play in total?"	|	Vachel played in a total of 114 hockey games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
3	|	"if Lyndsey placed 29 black coloured pencils, and Shu placed 21 lime coloured pencils, then how many pencils did they put altogether?"	|	"Together,  Lyndsey and Shu placed 50 pencils"	|		|		|		|		|		|	Word Problem	|	addition	|	3
11	|	"Each child has 5 pair of gloves. If there are 6 children, how many pair of gloves are there in total?"	|	There are 30 pair of gloves in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
11	|	"Each child has 6 burgundy coloured crayons. If there are 9 children, how many burgundy coloured crayons are there in total?"	|	There are 54 burgundy coloured crayons in total.	|		|		|		|		|		|	Word Problem	|	multiplication	|	3
8	|	"Ariel played in 87 soccer games this year. Last year, she played in 99 games. How many soccer games did she play in total?"	|	Ariel played in a total of 186 soccer games. 	|		|		|		|		|		|	Word Problem	|	addition	|	2
10	|	"if Curtice had 51 crayons in the desk and 29 were prussian blue coloured crayons, then how many orange coloured crayons did he have in the desk?"	|	Curtice had 7 orange coloured crayons	|		|		|		|		|		|	Word Problem	|	subtraction	|	3
3	|	"if Parker had 20 jettamelons, and Chery had 22 persimmons, then how many fruit did they have altogether?"	|	"Together,  Parker and Chery had 42 fruit"	|		|		|		|		|		|	Word Problem	|	addition	|	3
3	|	"if Siobhan placed 34 silver coloured crayons, and Wernher placed 41 orange coloured crayons, then how many crayons did they put altogether?"	|	"Together,  Siobhan and Wernher placed 75 crayons"	|		|		|		|		|		|	Word Problem	|	addition	|	3
